Country Name,2021
Aruba,7.193
Africa Eastern and Southern,33.54626627
Afghanistan,35.842
Africa Western and Central,36.23703376
Angola,38.809
Albania,10.24
Andorra,
Arab World,23.77483327
United Arab Emirates,10.307
Argentina,13.902
Armenia,12.049
American Samoa,
Antigua and Barbuda,12.115
Australia,12.1
Austria,9.6
Azerbaijan,11.1
Burundi,34.842
Belgium,10.2
Benin,36.608
Burkina Faso,35.541
Bangladesh,17.821
Bulgaria,8.5
Bahrain,11.926
"Bahamas, The",11.445
Bosnia and Herzegovina,8.42
Belarus,9.283
Belize,17.976
Bermuda,7.7
Bolivia,21.836
Brazil,12.883
Barbados,10.832
Brunei Darussalam,13.8
Bhutan,12.482
Botswana,23.576
Central African Republic,42.68
Canada,9.6
Central Europe and the Baltics,9.268993339
Switzerland,10.3
Channel Islands,10.11680362
Chile,11.788
China,7.52
Cote d'Ivoire,33.934
Cameroon,34.938
"Congo, Dem. Rep.",42.049
"Congo, Rep.",30.691
Colombia,14.204
Comoros,29.398
Cabo Verde,16.951
Costa Rica,11.873
Caribbean small states,13.55056069
Cuba,8.922
Curacao,8.6
Cayman Islands,12.4
Cyprus,10.313
Czechia,10.6
Germany,9.6
Djibouti,22.205
Dominica,13.326
Denmark,10.8
Dominican Republic,18.432
Algeria,21.524
East Asia & Pacific (excluding high income),10.54351434
Early-demographic dividend,18.93023868
East Asia & Pacific,10.17476354
Europe & Central Asia (excluding high income),13.38990555
Europe & Central Asia,11.06900351
Ecuador,16.817
"Egypt, Arab Rep.",22.558
Euro area,9.025814303
Eritrea,28.624
Spain,7.1
Estonia,10
Ethiopia,32.383
European Union,9.109213074
Fragile and conflict affected situations,32.32411581
Finland,9
Fiji,19.345
France,10.9
Faroe Islands,12.8
"Micronesia, Fed. Sts.",20.777
Gabon,27.142
United Kingdom,10.1
Georgia,13.412
Ghana,27.548
Gibraltar,10.714
Guinea,34.425
"Gambia, The",33.257
Guinea-Bissau,31.087
Equatorial Guinea,30.498
Greece,8
Grenada,15.961
Greenland,13.4
Guatemala,21.12
Guam,16.376
Guyana,20.298
High income,9.738245623
"Hong Kong SAR, China",5
Honduras,21.071
Heavily indebted poor countries (HIPC),35.05871218
Croatia,9.4
Haiti,23.498
Hungary,9.7
IBRD only,13.64564508
IDA & IBRD total,18.20206613
IDA total,30.59315178
IDA blend,31.25851235
Indonesia,16.425
IDA only,30.26463087
Isle of Man,8.529
India,16.419
Not classified,
Ireland,11.6
"Iran, Islamic Rep.",13.699
Iraq,27.367
Iceland,13.1
Israel,19.7
Italy,6.8
Jamaica,11.712
Jordan,21.95
Japan,6.6
Kazakhstan,23.5
Kenya,27.685
Kyrgyz Republic,22.4
Cambodia,19.334
Kiribati,27.207
St. Kitts and Nevis,12.125
"Korea, Rep.",5.1
Kuwait,10.41
Latin America & Caribbean (excluding high income),14.88704786
Lao PDR,21.973
Lebanon,14.948
Liberia,31.287
Libya,17.828
St. Lucia,11.49
Latin America & Caribbean,14.77866663
Least developed countries: UN classification,31.32866696
Low income,34.67636794
Liechtenstein,9.6
Sri Lanka,14.019
Lower middle income,21.04817832
Low & middle income,18.29328472
Lesotho,26.107
Late-demographic dividend,9.522077271
Lithuania,8.3
Luxembourg,10.5
Latvia,9.2
"Macao SAR, China",10.114
St. Martin (French part),15.053
Morocco,17.545
Monaco,
Moldova,12.432
Madagascar,30.949
Maldives,14.088
Middle East & North Africa,20.14204896
Mexico,14.857
Marshall Islands,19.28
Middle income,16.40125751
North Macedonia,10.2
Mali,41.643
Malta,8.5
Myanmar,17.103
Middle East & North Africa (excluding high income),20.82898546
Montenegro,11.4
Mongolia,21.413
Northern Mariana Islands,
Mozambique,36.598
Mauritania,33.194
Mauritius,10.3
Malawi,32.859
Malaysia,15.24
North America,10.85491668
Namibia,27.439
New Caledonia,14.3
Niger,45.293
Nigeria,37.117
Nicaragua,20.507
Netherlands,10.2
Norway,10.4
Nepal,20.402
Nauru,27.56
New Zealand,11.48
OECD members,10.50959405
Oman,18.419
Other small states,21.59704785
Pakistan,27.519
Panama,17.692
Peru,17.622
Philippines,21.813
Palau,13.4
Papua New Guinea,25.514
Poland,8.8
Pre-demographic dividend,35.99234078
Puerto Rico,5.9
"Korea, Dem. People's Rep.",13.24
Portugal,7.7
Paraguay,20.627
West Bank and Gaza,28.236
Pacific island small states,24.70511934
Post-demographic dividend,9.259874035
French Polynesia,12.759
Qatar,9.816
Romania,9.3
Russian Federation,9.6
Rwanda,29.976
South Asia,18.33656088
Saudi Arabia,17.473
Sudan,33.596
Senegal,32.573
Singapore,8.6
Solomon Islands,29.785
Sierra Leone,31.36
El Salvador,16.025
San Marino,6.2
Somalia,43.561
Serbia,9.1
Sub-Saharan Africa (excluding high income),34.63710433
South Sudan,29.107
Sub-Saharan Africa,34.63560541
Small states,20.37918728
Sao Tome and Principe,28.263
Suriname,18.154
Slovak Republic,10.4
Slovenia,9
Sweden,11
Eswatini,24.134
Sint Maarten (Dutch part),10.5
Seychelles,16.8
Syrian Arab Republic,20.111
Turks and Caicos Islands,12.476
Chad,43.357
East Asia & Pacific (IDA & IBRD countries),10.51022978
Europe & Central Asia (IDA & IBRD countries),12.81265193
Togo,31.856
Thailand,8.999
Tajikistan,26.749
Turkmenistan,21.592
Latin America & the Caribbean (IDA & IBRD countries),14.93525554
Timor-Leste,24.944
Middle East & North Africa (IDA & IBRD countries),20.74072422
Tonga,23.045
South Asia (IDA & IBRD),18.33656088
Sub-Saharan Africa (IDA & IBRD countries),34.63560541
Trinidad and Tobago,11.687
Tunisia,16.093
Turkiye,14.678
Tuvalu,23.484
Tanzania,36.21
Uganda,36.795
Ukraine,7.3
Upper middle income,11.11602059
Uruguay,10.473
United States,11
Uzbekistan,25.9
St. Vincent and the Grenadines,12.901
"Venezuela, RB",15.877
British Virgin Islands,7.634
Virgin Islands (U.S.),11.8
Viet Nam,15.008
Vanuatu,29.438
World,16.93865591
Samoa,27.254
Kosovo,11.143
"Yemen, Rep.",30.544
South Africa,19.821
Zambia,34.511
Zimbabwe,30.537
